case,algo,heuristic,ok,pasos,costo,expandidos,ms
15,greedy,manhattan,True,72,72.0,550,3.8727999781258404
15,greedy,linear_conflict,True,28,28.0,54,0.9563000057823956
16,a*,hamming,True,24,24.0,12522,73.8361999974586
16,a*,manhattan,True,24,24.0,918,6.2052999855950475
16,a*,linear_conflict,True,24,24.0,515,7.289300032425672
16,greedy,hamming,True,98,98.0,953,5.30409999191761
16,greedy,manhattan,True,56,56.0,441,3.2214000239036977
16,greedy,linear_conflict,True,44,44.0,98,1.6566000413149595
17,a*,hamming,True,26,26.0,27972,169.1873000236228
17,a*,manhattan,True,26,26.0,1252,8.138199977111071
17,a*,linear_conflict,True,26,26.0,497,6.895200000144541
17,greedy,hamming,True,124,124.0,1070,6.050100026186556
17,greedy,manhattan,True,78,78.0,438,3.1872999970801175
17,greedy,linear_conflict,True,38,38.0,52,0.9697999921627343
18,a*,hamming,True,24,24.0,15468,92.0246999594383
18,a*,manhattan,True,24,24.0,943,6.284300005063415
18,a*,linear_conflict,True,24,24.0,352,5.085200013127178
18,greedy,hamming,True,80,80.0,728,3.9339999784715474
18,greedy,manhattan,True,64,64.0,407,2.890900010243058
18,greedy,linear_conflict,True,50,50.0,70,1.2741000391542912
19,a*,hamming,True,18,18.0,1242,6.962800049223006
19,a*,manhattan,True,18,18.0,143,0.9333000052720308
19,a*,linear_conflict,True,18,18.0,72,1.0796000133268535
19,greedy,hamming,True,94,94.0,446,2.5950000272132456
19,greedy,manhattan,True,30,30.0,77,0.5840000230818987
19,greedy,linear_conflict,True,32,32.0,74,1.2638000189326704
20,a*,hamming,True,24,24.0,12993,78.10619997326285
20,a*,manhattan,True,24,24.0,1153,7.651399995665997
20,a*,linear_conflict,True,24,24.0,639,9.298999968450516
20,greedy,hamming,True,76,76.0,582,3.3053000224754214
20,greedy,manhattan,True,44,44.0,455,3.0953999958001077
20,greedy,linear_conflict,True,38,38.0,54,0.9704999974928796
21,a*,hamming,True,24,24.0,15236,90.91709996573627
